,marcEntry,callNumber,library,numberOfCharges,numberOfBills,numberOfCopyHolds,totalCharges,inhouseCharges,totalCheckouts,totalRenewals,intervalCheckouts,intervalRenewals,intervalStartDate,recirculate,dateLastUsed,isReserveItem,copyNumber,itemID,library2,libraryDescription,currentLibrary,location,inTransitTo,inTransitFrom,datePutInTransit,transitReason
123805,DSL for dummies / by David Angell ; foreword by Reed Hundt.,TK5103.75 .A55 2000,LINCOLNCTR,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1/14/2025,YES,2016-11-02,False,1.0,0201604198774,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
123807,"ATM for dummies / by Cathy Gadecki, and Christine Heckart ; foreword by Allen Robel.",TK5105.35 .G33 1997,LINCOLNCTR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/14/2025,YES,,False,1.0,0201602544714,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
123819,Networking for dummies / by Doug Lowe.,TK5105.5 .L68 1999,LINCOLNCTR,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1/14/2025,YES,2001-01-07,False,1.0,0201603749445,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
123825,"Networking with NetWare for dummies / by Ed Tittel, Deni Connor, & Earl Follis.",TK5105.7 .T58 1996,LINCOLNCTR,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1/14/2025,YES,1997-05-05,False,1.0,0201602429098,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
123829,"Internet telephony for dummies / by Daniel D. Briere, Patrick J. Hurley, and Rebecca Wetzel ; foreword by Tom Evslin.",TK5105.875.I57 B75 1997,LINCOLNCTR,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1/14/2025,CHARGED,2007-12-06,False,1.0,0201602711164,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,MISSING,,,,
123837,"The Internet for dummies / by John R. Levine, Carol Baroudi, and Margaret Levine Young ; foreword by Paul McCloskey.",TK5105.875.I57 L48 1997,LINCOLNCTR,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1/14/2025,YES,1998-04-05,False,1.0,0201602535605,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
123838,"The Internet for dummies / by John R. Levine, Carol Baroudi, and Margaret Levine Young.",TK5105.875.I57 L48 1998,LINCOLNCTR,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1/14/2025,YES,1999-05-19,False,1.0,0201603017520,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
123839,More Internet for dummies / John R. Levine and Margaret Levine Young ; foreword by Ted Nelson.,TK5105.875.I57 L485 1997,LINCOLNCTR,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1/14/2025,YES,1998-07-15,False,1.0,0201602611968,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
123845,Internet Explorer 4 for Windows for dummies quick reference / by Greg Harvey.,TK5105.883.M53 H37 1997,LINCOLNCTR,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1/14/2025,YES,2000-05-17,False,1.0,0201602988077,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
123846,Internet Explorer 4 for Windows for dummies / by Doug Lowe.,TK5105.883.M53 L63 1997,LINCOLNCTR,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1/14/2025,YES,1998-09-17,False,1.0,0201602831541,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
123848,Netscape Communicator 4 for dummies / by Paul Hoffman.,TK5105.883.N48 H64 1997,LINCOLNCTR,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1/14/2025,YES,1997-10-27,False,1.0,0201602686069,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
123850,Netscape Communicator 4 for dummies quick reference / by Viraf D. Mohta.,TK5105.883.N48 M64 1997,LINCOLNCTR,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1/14/2025,YES,1998-02-02,False,1.0,0201602717443,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
